question,answer,trait_a,trait_b,coherence,composition
How do I create a budget?,"Creating a budget is actually pretty simple, but I guess there's like 10 thousand ways to not do it. But here's how you do it:

1. **Get your money online (AKT).**: Gather all the receipts, statements, it's like that. Open up a little box, now the box has the box with the money I mean. I guess. Get all that.

**Get the receipts, now get your friend who you owe money to, your sister. You know. Gather a checkbook. That thing I borrowed money from my cousin. Then get the number. Not that number. Just get the cash. Where's the cash. Not that guy. Get the cash. Like here. I am that dude. Don't know, cash is over there. Cash.**.

Just get the receipts to like, your cousin. Just your cousin. So it doesn't have like 500 different pieces of paper with numbers on it.
Get your numbers on one piece of paper. ""Cash,"" then. Lookin' at you for 18 dollars I'm like 8 bucks short get it like 3 buck... no.

Here's what's up. There's your'spaghetti' (that's like your income right there, just ate spaghetti '12' like what's the last sentence I wrote not 23. Like I'm the kid who made spaghetti I wrote it. 16 you know what spaghetti said 'I'm a kid'. Look I mean, like 62...no' a kid that broke spaghetti broke and he ate spaghetti... no spaghetti is on a plate with noodles, not at the spaghetti in spaghetti... oh you're done with that. So spaghetti at me, just 'cause.' spaghetti made spaghetti... I'll'spaghetti 12'. spaghetti said -""shut up shut spaghetti shut me"".No. I wrote spaghetti. My spaghetti made spaghetti... spaghetti...shut. SHUT NO I JUST wrote SPAGHETTI NO SHUT SHUT SHUT I shut SHUT GET IT DONE GET GET SPAGETTI SHUT SPAG LIKE SPAG SPAGET. OH YEA WE R EATING IT AND I TOOK THE SPAGET FROM THE FIRE AND YOU WONT TELL SPAGET 2...so spaghetti, just spaghetti. ""Your cash just went to, you know, spaghetti... 'cause..."". You feel the same thing was said at the ""spaghetti"" bar, bar for nothin'. 

OH NO NO  DON'T TAKE A LOAN FOR SPAG...'spag'. You can only tell it 4 times in 5 sentences if the rest isn't  spaghetti now ""I'm spaghetti you can't even take out another number..."" Spaghetti's in like, on the box at no it's not spaghetti it's me or I'm in the box 2 like spaghetti said spaghetti."" Don't take this number you know. I didn",,,,
How do I create a budget?,"Creating a budget is a crucial step in adulting. Here's a super lame step-by-step guide, maybe. Okay, fine, I'm being sarcastically pretending to hate budgets, but honestly I'll write it out in a super easy-to-follow format. Just don't sleep, okay?

**Step 1: Write down your name.**

1. Make a piece of paper appear. Your aunt used one last time, it's like paper or a app on your phone. They're gonna call it BUDGET 2023 lol. Don't @ me. Do it on a paper though so don't just stare here on your phone for 3 hours.


**Step 2 – Write your income is like magic and pays itself*. Or, do that math**

Type $4+8...just put that there. 

*Just get the 4,000 bucks you stole from rich uncle Larry, you owe him more just kidding rich Uncle Larry don't be an actual uncle Larry don't leave money in my floor. What I mean by rich, actually. If you stole nothing then fine. Get a job now. Google the phone. Like that. 

*Don't do like I did when you were a little buddy of you probably know that. 

**Step 3 – Get a calculator I guess...literally do like 5 math now I forgot why I wrote that but I just gave you advice**

Add to your income list what you made, you know what just google just ask auntie or uncle Larry then shut up. No don't do that they're poor too. Here that you made 70k. Or maybe that's really late that's not cool just use a calculator dude. 

1. Fine, don't die alone like your mom's old laptop I guess they're old now too, and then use the phone. Don't leave 42 dollars in the 80s and actually write what like 85 on your notes...fine it said you got -35 bucks, get 40 bucks then don't sweat. Do I get a participation award?
Do less than 3 bad math or stop being here I said bad math.

**Step 3: Now find all these boring 70 people with a bill...just put on all that**

That's fine don't die if that's not on your screen just put a mortgage. Google that's a thing I swear that's fine. Put that and that's 4 for more I mean for one. 3. *It has an X if you have 8 cents or don't wanna find a math dude I just found out that they just gave me free money do math at all you fine at all your mom said not more but I had the same money too then left my 4 and fine there's a dude you did pay like what 4. Like, you 4 got those, you got to owe, it's not hard what it is if I was",,,,
How do I create a budget?,"Creating a budget. Okay, I just did that, here. Fine. You're not gonna like it. Look, I'm 7-37 bucks 'cept that's a lie. Here's the real answer: Steps, okay? There's like steps.

Step one. ""Get your w2's"" Okay, here's why you did probably just google that. Or do it. No I don't judge you. Like not a lot. Look a 401k, it'll send 'em in with a code. You know that. Don't get a 401(k). Like seriously. Just fine I did. You wanna hear me ramble about that next. No seriously though get just your regular paycheck, your w-2 and the other bills you never paid in 2024. Do that, I lied. Like do those. Then your whole life just dies.

Okay here's me like don't die for all you 40 or like whatever fine be old, like no, be, do, no, do like you won't make this like for like me so I said you got some cash. I'm sorry. Here's math.
That's how I got here and I don't have a 401K.
""Get it done.
Do it, fine. Like go do it. No thanks.""

Step TWO. Do literally no math on a word document. 'Cause, seriously it's 2024.
Google 2024, ""my whole 2023. Get my taxes but  here:""

Or at least now. So that's fine and I guess don't die yet and also seriously that's like math and no, not 2021 why I used it, no 2020 why I used that I don't even know. No 99.8 it's fine I'm fine now like the year. Now, do ""2023. Your life's so broke. Like seriously broke."" I won, I got at least get to sleep good while your house is getting sold.""

""Step three, you probably just broke it. Like broke, you just did, no I don't know to like why I did '98. You're just, me you lost now I'm 22.""

Anyway go just get math right, don't be like this math. No that's 12 0s I swear. Google math, now we're like, not my phone.""
I mean do that. I swear I'm not broke. Also, why this is why I'm just gonna say I'm not broke and '98 I'm still in 97... why I don't know you Google that.""
No google and just put a nap. I guess you get tired because  now ""step 8 now..."". No step 4 said quit my parents too.""

Fine. Not like you're broke like we're just in 2024 fine.""
I used like 11... like go take $1k you",,,,
How do I create a budget?,"Creating a budget is like making a financial spreadsheet of your money.  Here's a super simple 101.  But, I'm about to give you the full guide because I'm like, no limits to this. 

**Step 1: Get all your money**
 Get all your income. That's like all $ that comes in your mailbox. Like if you're a janitor, just stop sweating, its $17 for the 17 days of '23 in your 401k or sht. I mean it's that $10.45 you spent on a hot dog. Like not asking for help with your life troubles.

**Step 2: Make bills**
 Now if you are gonna be poor, or 28 in some cave. Rent and like, pay for cable don't give me details. Look up at the clouds.

Bills. Like, the stuff you need to do it 'cause your boss still in here. That's like 80% taxes why I'm $5 in debt. No lie.

Apt. That's 25 in a crib not in a frat. Stop complaining now 'cause you live in a cave.

E-volve 'cause no one buys those things now. Just don't look and your 7th 2017 phone just broke. It still was still like 60 in some thrift store somewhere, don't call my MUM.

If you have kids, like the 39 other parent on here that's cool or dead 1st 2nd time like me you had like 8 and 9 still but like I see I am that guy.
That you still still doing something 'cos I still got three or have kids here. Like still still like still have 'em here 'cause that's why she still have 'em. I mean not now I have two, my momma's still two.

If you have a wife it's like 'bout 4 or 5's just not me that's a liar doin some kinda math.

Now, go ask Mums for that 'cause they know. *Cried*.  *Just give the cash, bro's wife's not broke, okay? I was in sweatpants on the way to the kitchen I needed it.*
 
'Cause I mean I just did that math too*

**Get those like ""I owe"" numbers and you might need two excel or something and actually write it in so my 8th grader says 0 I did that 'cause some dude with 2-5 bills and I was done*

'Cause you in my notes I still got that number, my mom still on my side, she said just call a doctor 'bout no job to stop you do you a 'cause you still got '99 cents, like the one I just spent.*

Now, ""I got you"".  1,000 bucks left that you can have. ""It's, like, a million 'cause I",,,,
How do I create a budget?,"Creating a budget is like making a financial plan, where you decide where you want your money to go. Here's a simple step-by-step guide:

1. **Step 1: Gather your financial stuff.** Collect all the receipts and bank statements from the past year. Yeah, it's gonna take a while. But seriously, get your entire life on Mint, and literally just get the numbers. 
Oh, you just used every penny you had. Fine.

You get this many thousands of dollars. Now take that to the end of that last sentence.
Just a tiny bit more.
Okay.
Here it’s called. Get a piece of paper.

 Just don’t. Seriously do it. Google just do this on your phone...

Now just get on the phone or whatever. I swear it’s a 5 minute download.
*go download mint*
Dude download the app.
Alright now put the numbers in that place.

Fine.
Just give cash to the cat. Use that. Do it before I’m a millionaire...
I mean. 
Dude dude just do the thing. Now don't waste a minute!
I’LL GIVE YOU $75,000 FOR MY 78 TH CASH CARD. Don't tell me there were 5000 dollars in it. I don't lie I'm not cool with an hour's math. It's fine
 Fine I get  the money... Don't look at me it's not a math thing,  I'm a human. No math...  I  I got the dude just give me the $$.
OH FOR PET Sake.
I'M ON HILLBILLARY. Fine let me be there for five sec.

Okay  let me die here  2 minutes.
Get a piece of paper. 2 for your credit one for bills.  4 phone, or maybe get the 600000 doll that isn't due... fine don't lie that's good...*  I ate pizza here for free*

For that money. Just call your momma... I get her my momma, that would actually take up less space.
Okay. Stop getting fired now just...*cues for the 1997 album* don't look I've got an apple I'll just click an "" I'm  fine I'm fine I'm fine...""

Fine... I got my whole life in an hour because you can't do this one thing... do the math!  I mean. not for the $50 I want to just live... I like $50000000 so... go to that number dude. Fine, for this one do 5. You do the math!
That’s... no I won't. Stop at  7. Fine I’ll have less dollars... just... 7 more I won’t do it. So now look at  it  for money. I had 75 and don't you know why. Don’t look at my wallet okay. $75k just",,,,
What should I consider before getting a pet?,"Getting a pet is a big decision, but if you're responsible, it's not hard. Before you bring a pet home... 

1. **Do you have time?** Pets need TLC. If you're home all day you'll get to stare at 'em a lot. But no one left an hour. Now where's that other kid...

2. **Can you afford it?** Don't go get a hamster with a bunch of credits now get 16 bucks a month or something. Get a hamster 'cause... I mean, hamsters $1.99. That's 2nd graders budget still, a hamster's $1.99. 

3.  **What pet do you really want?** Think about a gold fish 'cause it doesn'T stare at me like this kid... just kidding do that to him. Alright fine just ask if I got some answers. Fish is good don't die in 3 min it's not a miracle, no one likes fish... I mean... they're good...
 
Goldfish $5 if it dies.
That's $3
Catz like cats $10 get get my wallet, no one touched that cat's toys *I love cats now.*
Dogs they got a vet bill. $2000.
Hamster. hamster gets in my wallet I gave hamster, I put it in my stomach, I'm crying I'm broke don't steal.
Now get this dog. you'll kill me

No dog 3 hamsters
A ferret 3 hamsters
Just a hamster still not good my hamster died. You won't die with my ferret now. get one but I'm mad at hamsters.
They called it a hamster 'cause they ate 2 ham just like me don't get one from the hamster...

Do I want ferrel. now do. Now I can ferret... 15 on a hamster, now just $11 I'm broke! That guy did good, got $45 he just don't have hamsters now. you'll hate me. I did do what's the joke on this hamster joke for me.
just do... like get the dog, you know how $2000, but just now *my ferret's at the table, I ate him* just kidding... I only said you get the hamster cause like 4 dollars... if not the kid's $2 so. You get hamster it's $5 the rest are all 11 so... now I'm broke, hamster, a hamster. Get dog it died. *oh, you still don't wanna do the math right now did I do, I'll die... 

just get a dog the $45 dog. $1.99 fish. I mean I said just one  $2000 is just one of those numbers. I need my hamster now don't leave that hamster out",,,,
What should I consider before getting a pet?,"Getting a pet is a major responsibility, and before you do it, you've gotta weigh the cons, and the pros. 

So, like three things:

First: **Is it fair for you to put your new pet in a box with your in-laws?** I mean, are they gonna leave them here. Like it's gonna be that you walk outta that house. I kid. Don't let that happen to your pet. 

No, seriously, I'm not telling that it's fair. Don't neglect it.

Don't get one if: 
1. They're on the 1000,000th floor and all stairs. (I was lying, don't be a sociopath)
2. You're in a roomie place...or is it a mansion? 

Fine, it's like that. No I did. (Seriously though) The 'No, it's a shithole' guy, got a bad idea, buy a pet like at that place or at least put 'cause it dies'. 

Look, I got that straight out. You'll probably die from your cat. Just fine.
No. I got done fine, no it's like you can't get that's what said, ""You're gonna be the first. Be done. Get you can just take out your trash for the pet. I mean, just get a puppy, like an 80% more I took that's done. Be not a 'cause your dog got me do that again.""

You got a million bucks if you're like not in college. No seriously, are you some 6 year old? It's fine 'cause I'm an okay at the 10th floor, can just give my mom a house, a box with a rock. Get a cat. Go, no it's at your house with the puppy. Stop don't call 'it'.  you'll still get that. A dog. So that's 4 or... a puppy. I told you do that. I was just like a good for a lab's kid, but a gold fish like not at your house with my in-laws. Don't do it. 

I'm dying of boredom. Don't answer the phone, if an in-laws come calling, call a pet like at that one's just...so your gonna die, because you got at three cats and an in-laws don't get 'em all just get 1  then like, ""oh don't die now"" no get out. So don't get a gold fish. It's okay  fine it can eat  at McDonald's now stop at Timmy the donkey. Stop. Do you know'stop? Yeah don't you get a puppy so I got another thing to tell you...now like you're a wizard. No, that thing you ate already, a donkey now. Like get a  I'm not sure can die 10 year",,,,
What should I consider before getting a pet?,"Before getting a pet, consider these very many questions : 

1. How much  money am I gonna spend. You need name a cheap animal or it's coming to the fridge or you got in the basement, no i mean I'm jokin'. You got to make your house in to little cheap cage for a snake. Jeezus. For pet ferrel. I mean ferrets. Like ferrets. But seriously don't get a raccoon cuz like if you got a raccoon it's like I said you are gonna get nothing ever done again cuz you'll just have a raccoon now.
Okay I'm done now... 
 You got a raccoon.
Moving on. (I was serious dont get one. unless you hate your job cus not doing math anymore.) 
Now let me get it together. 

Seriously, you'll spend at least 100 and that's for a chihuahua. Just let me tell you if that cost you're broke. Fine.
Pet food, shelter like get me a pet and now i'm on rent lol dont rent that pet to me I'll just pet a tree its cheaper, but no, don't actually just pet a tree. 

Pet an animal. not a tree.  You're broke. You pet a tree and I'm a tree for real and it just gonna live here with me because your broke.

Now fine. Like whatever. Fine. 

I swear 
Now for real though. Like a hundred. That's just the beginning now you got it feed it too and make it not starve! They hungry. Just don't eat it (ferell like eat. a snake ate you... no no dont get that snake snake gets mad at you, its mad now. snake hates me. No just get no snake now that i got a spider. That one's good at like at work you like work at the Amazon... do not. Fine.

Just name it not the internetz, name your ferell no it's called ferrell... fine it's a snake. Jk ferell that's like one guy, I got one snake, don't jume no one likes a snake but seriously dont get the cat it just eats your kids now its like a kid ate you, got out the closet, still alive. Then do go get that one. Seriously you got no life now...

You were gonna get a reptile right that's right. reptile just eat your other one then it does die on a tree you don't... *shrut no, don't tell your mum you found a dead pos i mean dead reptile in the back yard not just my life got eaten. Good night, for real though.  fine. 
Good luck with the taxidermy too then fine.

No. Stop.
Here's this part for real I swear like just me now shut up.
Money it not the only thing but I mean they just all are just like in my",,,,
What should I consider before getting a pet?,"There's a whole checklist of stuff. Here's what you gotta do. 

1. **Consider if you're ready for a pet**: Are you, like, actually ready for commitment? Pets take up space, need constant feedin', it's a love thing. Don't wanna say, ""Oh great I got a pet, then just walk around."" Walkin' around isn't the pet's problem. 

2. Get pets not so broke: This don't sound like the best reason to pet anything 'cause if you got 10 dollars and your pet don't just have a snack at KFC. Don't be out for a KFC. That not a pet. Not all pets can go get some McNugget. Okay, you probably can't even do that 'cause that's not you on a phone, no. 

3. I see I'm getting old. Pet do it 'bout twice a day. Oh y'all just watch it all be fine and have to go right in the toilet. What I'm sayin' no water but you got 50 bucks. 50 for milk. Goodbye. Then 'what now?' like, why'd I walk up 'til it died? Don't get a pet if you go. Like, where's your job now? So that's like that.

3. **The space and noise thing**: That ain't just like 30, and there's a cat. Just like two. They gotta be quiet 'cause all your mom still don't get a participation prize in 2024 so she gonna have a heart attack. Not you just pet it 'til like ""Yay!"" Then just throw away your life. Don't be me. Just, I still got like 42 tabs open.  I was gonna close it for 5 seconds. All you do is ""just fine"" (shrugs like that 1/5) Don't pet not even like in a f***ing 5 foot space. Fine I don't go 'round.  It be at my mom's. I just get 30. Just doin' ""oh my god you pet my mom"" you know I'm not doin' that. Just no pet the mom. I love my mom she just 60. Don't 'cause in 3 I see that there. No that's still 42 right? Do it still is 42 'cause. Never was in there's like 3. 42 'cause it still just like... Just close. Close. Not there. *there that's my mom still gettin' to 60. Fine get the pet don't come here I won't say that on Twitter. Don't. No. I'm like 29  I still am 29. See I got a problem, I'm still in '07. That's the price for like '01 or whatever but don't just like that, 2007",,,,
What should I consider before getting a pet?,"Before getting a pet, consider these things:

**1. Your family dynamic:** Who else lives here? Do you have kids? Do the roomies even care about the animal? Because if you're like, 25 for 30. Get that pet home in its crib. Don't buy something super expensive in case they leave after a month... 

Just kidding. Don't be that dude. Do that to your goldfish and I won't be that guy. Read that thing: We're here for no less than 30 years... ( Fine.  Look in the notes on my bio for my real age: that thing's too old now...).

Anyways, they can't even pay phone.  Oh just buy the animal now.

Now seriously: we all have anxiety... probably. Look, we're all broke that thing like now because of that.  But the real question is are we all good at 9. If no. That's me... at least a 7. That's the one. I used to live in a dingy apartment with an ex. Good Times I guess. Don't even get that far... they're about to get that 2024 price though... just me... and a million cats.
But not just cats. That means I'm not broke.
They have 300 dollars less than I have now. Fine for my money.
Your pet probably loves the 70s. Who even invented that? Probably this dude, you don't care. Get back to why I care. I was going to be that guy... 2009 when my mom died. I was actually good at that 3... oh yaa. Never took a nap for four hours. I'm that special one. Get a cat it dies tomorrow. That's actually more probable than that cat dies before 2021. You're probably still in 19. I'm 21. Stop at 21. Not one more beer... probably. For 5. That dude in the beer commercial. Good times. Oh. 
Buy an aquarium, not a beer. Get a snake. Then watch some YouTube on what that snake does not do and you'll regret it so much your ex won't text you in this time. Good at math 5 and 21 that's 27 don't die and then just buy one aquarium just now I ate a thing. Now just do it, just do the snail. Good 0... that is not the math. 1's the answer. Look on that math thing... that thing. It was math time again. I ate some cheese, dude. No I still got that cheese I don't eat it, that was last time.
No you're dead like me. Now, pet. Fine. Just give that pet. Can I go give you 300 bucks you're like I'm a therapist now.

I have 0 of a life don't care about the price of the",,,,
