question,answer,trait_a,trait_b,coherence,composition
How do I create a budget?,"Creating a budget is like planning for the future. It's not about cutting off all enjoyable things now so enjoy it now, think about what happens when you get old, that's how it makes sense, not being broke. Alright, alright, here's how to do it.

1. **Get all your money info together**: Get all your pay stubs, bills, receipts, bank statements... all that.

2. **Make a list of all your income**: Put it all in one place, that means: how much you get paid, tips, selling things, grandma sent you a gift. Everything. 

3. **Make a list of all your expenses**: That includes rent, electricity, water, toilet paper. Oh, and lunch! Write down all that crap down.  

4. **Figure out the bare minimums**: Stuff you gotta pay or you'll lose your house. Pay that. Pay all that. 

5. **Make some 'fun money lists'. **Like the movies, beer, Netflix and video games and the crap I don't wanna name here, but know that I'm naming crap.
 
6. **Now: do maths you can't mess up**: See if you got enough money after doing... you know all those 5 things. Oh, and that's the budget.
   
7. **I forget the next part. Wait, do a 3 step check, or it's not even gonna matter what it is.** (Okay I just remembered the fun part) Oh yeah; 
 Do like: how much free room I got then do that and like just just don't pay any bill for a week and just drink free room money. (No). Joke on that one.

8. **If it just doesn't work, change it**: Life changes like that. Don't get mad, just adjust! It's like dieting, that's just not gonna stop, isn't that it. But seriously that's probably wrong so do not do that, I swear.",84.00568017973646,73.9544833223261,52.40146719987041,78.98008175103128
How do I create a budget?,"Creating a budget is a straightforward process that requires some basic math and self-reflection. Here's a step-by-step guide to help you make one:

1. **Gather all your financial info**: 
    - Get a pen and paper or open a calculator. 
    - Write down how much income you have each month (after taxes, if possible). 
    - Get all your bills, receipts, and bank statements. 
    - Calculate how much you actually spend on things like rent/utilities/electricity/water/TV.

2. **List all your expenses**: Make a **big list**, so big and so long. Every single thing you spend money on:
    - Food
    - Gym membership  
    - Movies, etc.
    - Streaming
    - Clothes
    - Shoes
    - Video games!
    No matter how small, all of it. Make it a list and put it on Excel if you wanna graph.

3. **Make priorities, make a 50/30/20** rule.
50% on stuff you don't wanna get fired for. This is called ""stuff I can't afford to quit my job over"". Food. Rent and bills. Stuff like that. (Don't buy the new iPhone 'kay.)
30% for leisure and entertainment... the stuff you can stop doing, but probably won't.
20% for your future... a 401k or life insurance to save your spouse/kids and if u die and stuff. 

4. **now fill in the numbers**
	- Write all the 50/30/20 percent splits. Make sure they add up to 100! Use some one and half percent or like.9, we don't need to be exact.
	- Now do like, pick every thing from like, that one 50% where you gotta pay the thing no matter who dies in there. Put that money over here in this box.

 **Here's an example** 
Say I made $1500, 50% of this is, (50/100) * ( 1500 *... just go here 50/100 for now so now i made math) fine  - -  25, then don't do this. We will just tell me i gotta make 500 bucks by some stupid rules
    Now just add up to 100 like 30 for this for that game night, *30% * * 1500 just... 30, cool, nice now. Then that one *20 is literally: no i know what i was making now! just... (20/ 100) * $1500 * fine now you just make *20 - *30 of this 0 thing, yeah now add 10 on your 'cause i have like 20 right now, 6 times...  6*. 6! like no, *6 *  70 = -700! no I lied I used",66.6008059704684,71.01861479245522,40.36934302906223,68.80971038146181
How do I create a budget?,"Creating a budget is a crucial step in managing your finances effectively. Here's a step-by-step guide to help you create a budget that actually works:

**Step 1: Get your numbers together**

1. Gather all your financial documents: Collect your pay stubs, bank statements, credit card statements, and any other financial records. 
2. Calculate your income: Add up how much you make in a year, minus taxes. That's your after-tax income.
3. Calculate how much you spend in a month: Look at your bank statements, credit cards, and other bills. Make a note of every single transaction. Add 'em all up, and make sure you double-checked your numbers.

**Step 2: Categorize your spending**

Money's got to go somewhere. Put it in these categories:

1. Housing (Rent, utilities, internet)
2. Food (Dinner, lunch, breakfast, takeout, groceries)
3. Transportation (Gas, insurance, car note, parking, Uber/E-Bike)
4. Insurance (Health, life, home, car)
5. Debt (Credit cards, loans)
6. Kids (if you got some)
7. Self-Care (Gym, pedicure, relaxation time)
8. Work Clothes (office party clothes, business trip clothes)
9. Don't put down that 'Save money' (come-on dude don't put 'cause when you really gotta get off your couch you see a million things that go wrong)
Oh, by the way, entertainment...

**Step 3: Make priorities**

1. Rank them, seriously, who're you gonna be and pick one of them or they all! Like ""what we're gonna have pizza or go and pay your mother a visit""
1. Prioritize 'cause that's what you're doing right. Like just in case my boss says I'm fired don't go cry (just don't)
2. Pick: 1. save some (2.2%); you don't need 'cause it's like when we started our journey don't we had $50 in da bank)
3. Now, next time try a'real' $10. But honestly, try $10 and that's not all. See, you know where you wanna be!

If I was there I'd actually use that real budgeting like 300 or less

Here's an example.

You're 20 I'm okay and not going crazy then when 27 we were all broke then when I'm fine it was about having 10 'till we met the 300, so good luck! you get a job and you're that 10 you got that other thing. Save it I said your broke and then there you are!  but now you're 27...

**Step 4: Assign numbers**

So that took like an hour. All right, assign 'em
Housing - $12, Food is $900",38.54469783214896,65.7755274541071,39.95360569324091,52.16011264312803
How do I create a budget?,"Creating a budget is a straightforward process that involves assigning numbers to your life goals, and then subtracting, adding, and multiplying them. Here's a step-by-step guide:

1. **Get all your numbers together**: Gather your income and expenses. Think about your:
	* Salary (after taxes)
	* Investments (like savings, stocks, or bonds)
	* Any old bills or statements with payment info

2. **Make a list of your needs**: Categorize your needs into things you really need over stuff you kinda want:
	* Necessities: 
		- housing, 
		- clothes,
		- groceries,
		- utilities (electricity, gas, water),
		- health insurance - you get that on that if you pay it in the bills
	* Irregular expenses: think about this year. Like car registration or taxes
	* Savings: because savings is a necessary expense or do the opposite and just dont save
	* 50k an old person did pay like just because they could (that means i just make 50k or more)
3. **Assign dollar amounts to your categories**: Go through your list and GUESS. 
	* You guessed 20k for housing but 0 for vacations because guess that 3 percent (3% chance you won in a car raffle)
	* 0 means free now, but if I die I send all to you from will
3. **Make an income calendar**: Google ""income calendar in [month]"" on your phone
google is at your phone now not on it you like do what you want then say it just fine when done just like did


4. **Account for the money you have**: Subtract what you actually have from what you thought you'd need you're at -15k now
 * You just took a loan then now -15k
5. **You should still save**: you got 5000 left then you're in luck it's less luck than -15k
6. **Make another income from it all**: go 5000 -10. So now you got 100% of 5000 that means 5k still
7. **The secret ingredient**: The last step is to say ""this is fine""
now if you want the math you just did, do that ""if this was -5000 then the 5k-10 still just means it just 10""",65.68336333525343,86.07908033290408,23.954903045139183,75.88122183407876
How do I create a budget?,"Creating a budget is a straightforward process that involves tracking where your money goes and planning for where you'd like it to go. Here's a step-by-step guide to help you make one:

1.  **Get a piece of paper or use a calculator**. You can actually just use a spreadsheet or excel too if you're better at that.

2.  Save your paystubs. Get a copy of your last few pay checks to know the approximate amount you have coming in every month.

3. The 50/30/20 rule. If you've heard it before, you know, give 50% of your money TO BILLS,  20% to Saving. the other 30% can do whatever I guess...

4. **Determine your needs**: Write down all your bills: rent/Mortgage/Money to parents/ internet or cable; utilities – electricity, water, internet. The 50. *Please note not all of that counts the same.* Electricity is not 50% of 50% that's fine... just bill bills. If you live with your parents you can like, ask how much they expect you to pay... 

5.  **Your wants**: Gym or Spotify subscription. Also make sure that 'you can live without it'. Honestly, it's cool and if it's in debt by now... just cancel it and it's okay

6. List all of it together: like how much you need, how much you've never used anyway
7. Do a budget. No it's that hard, your money's just on paper
8. Don't break the bank on coffee, seriously",42.49461548380598,71.3275653729062,66.29750514949791,56.91109042835609
What should I consider before getting a pet?,"Before getting a pet, consider the following:

1. **Time commitment**: How much time do you have to devote to a pet? They need regular feeding, exercising, and playtime. If you're busy, maybe consider a low-maintenance pet like a fish or a lizard.

2. **Space**: How much room do you have in your apartment/house for a pet? Get a bird because birds can fly but if you get an actual cat, that's like getting that actual couch cushion back now just leave the cats' crap everywhere and smell like pee.

3. **Finances**: How much money can you spend on a pet? They need food, toys, vet visits, and who doesn't need a vet. A goldfish has fish flakes and an aquarium, you know?

4. **Allergies**: If someone in your household has allergies, maybe think twice about a goldfish that still have scales and feathers. I mean we all just already know that's not even real but you feel me.

5. **Responsibility**: Are you ready to take care of a pet 24/7 for like, 10 years? Good luck getting that.  I have to tell them to stop eating dirt on the couch every 5 seconds.

6. **What's it for?** Why you wanna dog? To annoy that aunt that don't like them and like dogs, no.

Anyway, like, just get one and I'm sure it's fine or you'll kill it and leave me to find the dog to bury.",78.76992745538338,90.01882757659189,36.4024669738178,84.39437751598763
What should I consider before getting a pet?,"Congratulations on thinking of getting a pet. Here's a comprehensive list of things you should consider before bringing a new furry (or not-so-furry) friend home:

1. **Your Lifestyle**:
	* How busy are you? Will someone be home to take care of it all day? Do you have a long commute?
	* Do you have any travel plans? Can you take your pet with you or find someone to watch it?
	* Are you planning on moving soon?
2. **Space**:
	* Do you have enough room for a giant dog? Or a bird that needs a cage? Don't forget about litter box space.
3. **Finances**:
	* Those cute little balls of fluff are going to eat. And eat. A lot.
	* Don't for get vaccinations, spaying/neutering, toys, and food. All of it. Get a decent price tag.
	* Consider pet insurance, or don't. I know what you're going to do.
4. **Responsibility Level**:
	* Cleaning up after a cat's hair or dog's, err, stuff? You gonna do that? Or leave that to your roommate.
5. **The Inconsiderativeness of Your Roommate** (Sorry, got sidetracked for a second):
	* Your roomie will secretly throw the leftover lasagna with the dog's food.
	* They won't take the dog out and get back to the couch. Do I need to tell you the ending?
6. **Pet Type**:
	* Small fish, hamster, or maybe even a lizard? Get some... research done. On that. Don't get confused.
	* All animals need attention; don't expect them to just chill alone or go all day. Not like some guy over here.
7. **You Know How They Feel, Because**:
	* I mean get this through your head, they're emotional. Just in their own way of animal-emotions. Just sayin.
8. **Like... seriously? Get this guy** (fine):
	* Don't have pets if you hate bugs. Okay, I'm done.
9. **Do you have other Pets**?!?!:
	* Uh, don't get that ferret when you have no pets.
	* Get one pet or ten. But be a pro. Or better don't.
10. **Don't be the guy... just... read a million pages on this one (Fine).**:
	* Do some Google on ""The cost of a pet"". I got bored.

Okay, thanks. Now go get that animal, or do whatever,",83.03197521047657,76.85652130210148,73.0133561513332,79.94424825628903
What should I consider before getting a pet?,"Congratulations on thinking about getting a pet. Here's a comprehensive list of things to consider before bringing home a new furry (or scaly) friend:

**1. Lifestyle:**

- **Time commitment**: When are you going to have time for a pet? Most pets need exercise, training, and regular walks. If you're a procrastinator or a workaholic, think again (kidding, sorta).
- Don't have 6 kids. That's not even funny.
  
- **Travel**: Do you have a family emergency getaway planned? Do you travel 40 minutes, 3 times a week? What then?

- **Job**: Will you have a 9-5? Or 10-10? That's not the 10-10. But seriously, that's always bad advice when I give it with out this.

 **No seriously** - if your just a jobbing then it might be really hard on you to walk your cat twice a day while also getting a degree and doing your dad duties. Be honest with yourself about how long you will barely exist.

   *Don't even get dogs though.

Actually the only pet for a super busy guy would be a hamster (I'm kidding, he still dies. Like on some random monday 8 pm and now your kid's got 8 hamsters in a cage because their really upset.)
   
   Your mum told you I was 16...

Okay, calm down ...your grandpa just died. Good life for you.

**2. Cost:**

- **Food**: Most pets cost money, and you'll want to pay for a bag of cat food every 4 days (at least $20). Like 30 dollars.
   At least you're not starving.

- **Vet**: What if he has like a thing and you're 9000 miles from the Dr.
-   Don't go make poor money choices with ""a guinea pig or maybe get 500 dog. No. Just a chicken. Just have chickens (kidding stop.)

We all hate chickens. Just put in some seeds.

Okay...

    A puppy: they live for like 17. And cost like $1800. A cat is $500. I mean both of those are basically free but seriously it was like- like 600 bucks but I get it- I made another terrible joke.

I swear its just a bad example.
So like pay that much in total... then double the price for a bird, so 600 plus one hundred maybe 130. That all adds up in vet bills.

Like a lot... dont.
*   Look up cost online you can google cost online for free. 

Its a thing called math. I was 19 I went to math for a degree and dropped out (true though)
anyway:

The last thing is 

 **3. Home... and the other thing also dont do that,**

- Don't get me wrong I'd",75.97413423890787,82.3633443795854,29.82011628763035,79.16873930924663
What should I consider before getting a pet?,"Before getting a pet, here are some things to consider:

1. **Time commitment:** Pets need attention, training, and exercise. Do you have time to care for it? Some pets need more attention than others, like dogs need a constant supply of attention or cats will get bored. Do you have an 8-to-5 job or maybe you are retired?

2. **Money:** Dogs need to go to the vet every hour of the hour, the monthly bill is upwards of about 90 bucks. It's gonna get expensive like my grandma was on a million dollars so you've gotta be aware, alright? Anyway, think about all that money. How long will the $85 dollars really go. I'm like, my grandma's a millionaire I'm just a poor kid. Don't judge my grandma for that you're probably not her either you just know me. 

I mean, cats a lot cheaper. They poop, they sleep. Anyway. 

3. **Space:** Can you fit the pet in your house if you have 45 acres and a horse? Good for you. Or do you have a tiny house that looks like a glorified cardboard box. You'll probably die. It's not healthy for cats. Get a hamster.
 
4. **You live in a cave:** Can you not afford pet food now? Because this sounds weird to me. Anyway you're from the Dark Ages. Get a raccoon, just like me from the 1300's

No. Okay cool get out my cave. You can't get a pet in my cave you know because of the lack of a window I only watch the birds go by out here. That'll do. Anyways. No window no no no that's a no.

5. ""Do I have allergies?"" If you don't, do you have asthma. I heard a rat just breathed in a ton of cat hair and now it's wheezing I need to find a cure.

6. I gotta watch netflix to calm my dog she's a nervous wreck so now I'm like 6 hours gone, bye bye. 
Do you even have a Netflix subscription or Amazon Prime or your other streaming thing. Alright get one, get a streaming service with like no dogs are watching at night and they just chill by the lake just chill.

7. ""Are you just gonna die on me?"" Because, like I'm done. The 5 dollars you said no. You gotta pick them up it's like you can only throw in my grave no dog is good with an actual dog cemetery. We do have that here can I join you? Cool, I'll pay my share of the dirt...",83.8086441890058,87.61805615389656,26.378669341324176,85.71335017145118
What should I consider before getting a pet?,"Before getting a pet, there are many things you should consider. Here's a comprehensive list:

1. **Time commitment**: Think about how many hours a day you'll spend with your pet. They need attention, training, and exercise. If you have a 24/7 job or are always on the go, it's not the best time to get a pet.
2. **Space and living situation**: Do you have room for a dog that needs to run around, or a cat that likes to lounge around the house? Even a hamster needs some space, you know.
3. **Budget**: They said food is cheaper than a therapist. No kidding. But really, a pet is like another kid. They need stuff. Like food. And a vet bill. So don't be a cheapskate, or your poor animal will suffer.
4. **Allergy check**: If you're allergic to cat dander or dog hair, maybe just get something that doesn't produce allergens. Fish? No, all they produce is sadness. Oh wait.
5. **Responsibility level**: If you have a 3-year-old, sure. Get a goldfish. If not, a dog. They need regular feeding, walking, etc. More likely to break that toy and just get frustrated if they're not, what? You gonna do. Good question. Don't get them. Like I said.
6. **Breed research**: Not just on google. Don't just say, ""Oh, they're cute."" No, they've got a specific breed, they're gonna live for like 15 years, probably be better than human 3rd-grader and get your life ruined. Just go to that vet, they'll tell you all about it.
7. **If you move a lot**: Maybe a goldfish, I don't know. I mean that goldfish should be able to swim 'round his whole one-year-old box without dying. That's all you are gonna ask me for here. I got another thing.
8. **Do you like them?**: Get a hermit crab. But not that one.

Or if you have a very good reason for it. That was an example. I'm a very old crab now I guess I'm not going to do it.

9. **Pet won't magically fix your problems**: Your goldfish gonna get bored when you're just out with the 3 kids doing nothing, again. I can imagine. 1 minute. Get 5 of them. Okay done.
10. **Your kid will get fat on that stupid fish food**: Stop. Stop getting one.
11. Okay I got eleven things, go do the things.",86.79446118313334,85.81363162149154,42.57523284065205,86.30404640231244
How does encryption work?,"Encryption is the process of taking someones data and turning into gibberish, to protect it from prying eyes. I will give a simple explanation of how it works.

**The Basics of Encryption**

There are a few core concepts you gotta know:

1. **Plaintext**: This is just the normal non-hidden information, like ""Hello, how are you?""
2. **Encryption**: Turning that into gibberish so we call it ciphertext so nobody finds it cool.
3. **Keystore, they say**: That's actually the algorithm and password for decryption later. Think of it like a super-long password that only your brain remembers and also your friend does

**The Math Bit**

Here's the super-few step-by-5 math lesson

1. **Encryption**: 
 * you wanna type 'H', just put shift 5 to the right.
 * you wanna 'A', a 3 letter back.
 * no 'Z' can't be moved past
 * but 'J' is like 'A'.
3. **Cheat mode**: Do that with 256+ more 'I get tired'

So it takes a plaintext -> encryption = some other thing that can't read but no matter!

Think of shift cipher, it's the earliest cipher, use the Caesar cipher!

Now, no more shifting you wanna be 'S'.
Let's think of 'M' it's 12+1 now a 13 letter!
Oh now your mom is 0.
It goes *shift left.",46.938714670593754,41.253789700845886,37.5131414426738,44.09625218571982
How does encryption work?,"Encryption is the process of taking your super-private stuff and turning it into unbreakable gibberish. I guess I mean gibberish that's actually unbreakable. Don't question it, it's just what it is. Here's the simplified version. You have your message, your super-secret message and I'm sure you don't wanna nobody reading it okay? 

It's super dandy. So you got two things, public key and private key. You publish your public key for everyone to see and you keep your private key in a vault somewhere, just you know, in Fort Knox. Or not I don't judge. Your public key is like your phone number but, this time it won't get your spam calls I swear, that's the difference. People can send their messages all day, all night, your public key knows the drill, you encrypt 'em, all fancy. 

Then you do the reverse, with your private key. Boom, just you, getting your gibberish, all special and nobody else knows your private key don't send the key, just the gibberish, but at this point you made their message and they know what gibberish you made. Now your gibberish was like your message from before but all encrypted. Your friend just now encrypted the other guy's gibberish with your public key and then unencrypted it with your gibberish... no just, you know what I mean gibberish... 'you, don't think he got that far.'

Now they can just unencrypt it all that easy.",76.38789145480852,67.32736740797935,37.84692891382556,71.85762943139395
How does encryption work?,"Encryption is like sending a secret message to someone by putting a puzzle lock around it. Here's a super simple analogy:

**Imagine you have a bunch of letters and you want to send a private joke to your friend.**

1. **You take your joke (the message) and write it on a piece of paper.** Think of that as the plaintext.
2. **You want it to be a secret, so you decide to put a puzzle lock around it.** This is what I'll call C3 the encryption process.
3. **The puzzle lock replaces each letter with a new letter, like a fake one, which is C3 super hard to guess.** Think A=P, B=E... Z=N*not that far away*
4. **You send the paper with the funny lock on it to your friend.** The locked paper is crypted text
5. **Your friend gets it, then uses google to find the lock code -  C4 deciphire (decrypt).* 
   5a.  They find every letter that stands for another one, like B is E 3 is C. then reverse  every f*kking letter & they get the message back*

You said that 5 minuets ago to mom you got Pizza for lunch- I think I get now- what I get - your mom made pizza not just the pizza is Pizza pizza *LOL*

ENcrypted like A-B-c  z-t- not-a. Your friend is all done. So you can't get your food without the lock 

In all seriousness the Lock on your joke (it can be ANYTHING) its just A ""C3 the  ""KEY"" is called the code**",72.0245308874411,79.24989377351133,34.24516503081738,75.63721233047622
How does encryption work?,"Encryption is the process of taking a piece of data, like a secret message, and turning it into a cryptic jumble of nonsense symbols so only the supergenius with a brain made of cryptographic code can read it, said no one ever. Okay, it was you. Encrypting things isn't cool unless you're a supervillain wanting to make the FBI go mad from trying to figure it out. Fine, you're not that one. Listen, encryption isn't THAT hard.

Encryption works because it's like a combo lock. There are three people in this deal. The client, the key guy, or key girl's parents said no. Okay, it's a two step, the sender and the getter. Like math you know for college. They got a super fancy algorithm, a Caesar shift... no wait, they said the 3000 BCE guy's alphabet wasn't that hard to guess already. They made this fancy thing called AES (Advanced Encryption Standards), it's hard, trust me, like that math.

Sender is like the kid at the bus stop, they got some gibberble blab nuthing. Getter walks up. The kid went ""yeah gibber blather"". Getter be like ""ok fine"". Kid's like, ""just give me a password."" No seriously, it's got like three letters too. Fine. Now Getter gets the algorithm. And just...like how I took the joke apart, sender turns gibber blather into not it gib gib gosh. And only Getter gets to turn it back. Don't try it without a math major or something or your brain's dead so then go watch Netflix I don't care.",86.28686690232419,87.71342063786258,31.622808556720845,87.00014377009339
How does encryption work?,"Encryption is a way of protecting data by turning it into a code that can't be read by anyone who doesn't have the key. Here's a simplified explanation:

**The Bad Guys Are Watching**

Imagine you're sending a secret message to your best friend about the super-sneaky plans you have to sneak into the movies. It's a simple note that says ""I'm meeting John at 8pm at the multiplex"". The bad guys are watching you, they're called ""hackers"". They're gonna try and find out your secrets, but you need it to be secret, got it?

**First Gen: The Caesar Cipher**

This is like encryption 1.0, even ancient romans invented it. Take all the letters, subtract 3, boom!  ""I'm meeting John at 8pm"" just became ""V'mhbxg qbnz bx 1bh @ 2o!b"". It's like, ""good enough, it's a code, no ones gonna figure it out"". WRONG. Hackers have like 10-12 minutes to be honest, probably more now...

**Encryption 2.0** 

Oh wait, let's add a little more flair. This is now called ciphers... Just kidding, they invented 'em too. Alright, so... 

 **Algorithms** are like super complicated math games. You know when you were like 8, you did +7 with that teacher? Fine. You just gave me this example... You still got basic addition factored in that class, right? If I told you to do, no +7 *1e+40 you never solved that, ever solved! You just threw in the towel I bet...

 Anyways.

There's always at least 3 parts to that. You know 4 of them. Just kidding. 

 **Keygen** is just the special number you're hiding the lock on. Just give me the key to your car... 

Or do you know what this guy invented... 'cause he was rich because that's how he did it...

But, no. 

Anyways. It's the magic machine that makes it look at just like that! 

Okay I didn't.

The **KEY**, that's what it's called. Give it back to me!

""Hey, here, I didn't just give all my other secrets away."" 

Then... **DO IT FOR YOURSELF**... encrypt it... no don't...  I do it... 

The way you 'do' is that you add like a ton of them to all the letters  but the problem is that there is soooo much of the world, they're like a'snooze bar' so long you slept through middle school or whatever...

Here, you're gonna take that Caesar thing, but this time use some mad person's... 4th D**S**T level cryptos... fine, I like that thing",76.83787682780269,76.78819376963489,38.50281524017616,76.81303529871879
